КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
78d721ef79ac4371b52216f34dd7cbb0	2020-02-09	09:43:07+0100	2	4
de07bde59ede40c694d1ab603dc6b870	2020-02-09	09:43:09+0100	2	4
b3c14b01fa3b45d7b30bb61e70d49070	2020-02-09	09:43:10+0100	2	2
d5a0b281ce924d9290128ac0618fe2b0	2020-02-09	09:43:12+0100	2	2
203c69829ec449f59595bbdf231f4bb0	2020-02-09	09:43:14+0100	2	2
70493c0d97674efb8d66218c9e08dfa0	2020-02-09	09:43:17+0100	2	2
923c9a3057f74ffd93f387ac559dc800	2020-02-09	09:43:19+0100	2	4
f8924411091446248d30895d161966f0	2020-02-09	09:43:21+0100	2	4
78800cc773684261b84d4c6e507cd570	2020-02-09	09:43:31+0100	0	1
f3c5ab1afad444bda8962943b19d8420	2020-02-09	09:43:34+0100	2	2
2f3a1753ec1a4754887f7d4a8d687490	2020-02-09	09:43:35+0100	2	2
842afa4193eb48e787d7243425731e30	2020-02-09	09:43:39+0100	0	0
ce41d40b505442a6a408aa7ba101d880	2020-02-09	09:43:40+0100	2	2
76129727065b498db4296bed909600b0	2020-02-09	09:43:47+0100	0	0
67313ec67865418d8e3a0662a30e5a20	2020-02-09	09:43:52+0100	2	2
65c6b04077f64dd1809c01724bbb8c60	2020-02-09	09:43:56+0100	2	2
1d258aed486a429f8ca7220b8377eb50	2020-02-09	09:43:58+0100	2	4
6d470317e66f4658a65f968acfe375f0	2020-02-09	09:43:59+0100	2	2
04f1c7d7a69a4329a9595814c7d72bf0	2020-02-09	09:44:01+0100	2	4
97777462926249a2891ccb840d9b6910	2020-02-09	09:44:06+0100	2	2
3f6e2534046d42a4897dcae5c4612d30	2020-02-09	09:44:12+0100	0	0
dcdf694156264a89a4f4869a19e3b920	2020-02-09	09:44:14+0100	2	4
880e152c93b1412eb549c3d64420e970	2020-02-09	09:44:16+0100	2	4
b2d8d718e2194ae89d99f29132781760	2020-02-09	09:44:18+0100	2	4
f88c27035229457d855fa3a42fa14e90	2020-02-09	09:44:19+0100	2	2
61788414796a4bf38732695db87aab90	2020-02-09	09:44:29+0100	2	4
626a3120c18f4744995429cca9f927d0	2020-02-09	09:44:32+0100	2	4
94c6eafd33f846e78df61ec02a834630	2020-02-09	09:44:34+0100	2	2
0722f94042f4425ea6043bded0d6a820	2020-02-09	09:44:37+0100	2	4
dbdd587dc8b44137a35899f6ccfa65c0	2020-02-09	09:44:53+0100	0	1
ae20c6b8b00442f89746d44e558e1890	2020-02-09	09:44:56+0100	2	2
f22afb424f1a4ed5b6f1492fa8e65140	2020-02-09	09:44:58+0100	2	4
b876487e17854bfb88e7b0b2270db360	2020-02-09	09:45:00+0100	2	2
0418d372899f4a1fa5b890911289acd0	2020-02-09	09:45:02+0100	2	2
0418d372899f4a1fa5b890911289acd1	2020-02-09	09:45:05+0100	2	2
203c69829ec449f59595bbdf231f4bb1	2020-02-09	09:45:10+0100	0	0
037e5cd387d04496ae542cf484594e41	2020-02-09	09:45:15+0100	2	4
65c6b04077f64dd1809c01724bbb8c61	2020-02-09	09:45:17+0100	2	2
b2d8d718e2194ae89d99f29132781761	2020-02-09	09:45:20+0100	2	4
dbdd587dc8b44137a35899f6ccfa65c1	2020-02-09	09:45:23+0100	2	3
f3c5ab1afad444bda8962943b19d8421	2020-02-09	09:45:25+0100	2	2
b876487e17854bfb88e7b0b2270db361	2020-02-09	09:45:27+0100	2	2
837d6ec7c0cc43b6aceaac6f33fa8e11	2020-02-09	09:45:30+0100	2	2
c102919b1f7f43bd975c3e5c4d16d661	2020-02-09	09:45:34+0100	0	0
ce41d40b505442a6a408aa7ba101d881	2020-02-09	09:45:37+0100	2	2
04f1c7d7a69a4329a9595814c7d72bf1	2020-02-09	09:45:40+0100	2	4
12cbde2735cc40fb805198522fbc41e1	2020-02-09	09:45:44+0100	0	0
923c9a3057f74ffd93f387ac559dc801	2020-02-09	09:45:50+0100	1	3
2f3a1753ec1a4754887f7d4a8d687491	2020-02-09	09:45:53+0100	2	2
de07bde59ede40c694d1ab603dc6b871	2020-02-09	09:45:54+0100	2	4
78d721ef79ac4371b52216f34dd7cbb1	2020-02-09	09:45:58+0100	0	1
fb1d616beea74912b8a9ea8c1ece2d71	2020-02-09	09:46:04+0100	1	1
67313ec67865418d8e3a0662a30e5a21	2020-02-09	09:46:06+0100	2	2
94c6eafd33f846e78df61ec02a834631	2020-02-09	09:46:09+0100	0	0
f88c27035229457d855fa3a42fa14e91	2020-02-09	09:46:11+0100	2	2
f22afb424f1a4ed5b6f1492fa8e65141	2020-02-09	09:46:14+0100	2	4
ae20c6b8b00442f89746d44e558e1891	2020-02-09	09:46:16+0100	2	2
dcdf694156264a89a4f4869a19e3b921	2020-02-09	09:46:18+0100	2	3
1d258aed486a429f8ca7220b8377eb51	2020-02-09	09:46:21+0100	2	3
b3c14b01fa3b45d7b30bb61e70d49071	2020-02-09	09:46:24+0100	2	2
70493c0d97674efb8d66218c9e08dfa1	2020-02-09	09:46:27+0100	2	2
842afa4193eb48e787d7243425731e31	2020-02-09	09:46:31+0100	2	2
3f6e2534046d42a4897dcae5c4612d31	2020-02-09	09:46:33+0100	2	2
41b7fa646a26475aa6023ed1a1439271	2020-02-09	09:46:37+0100	2	4
626a3120c18f4744995429cca9f927d1	2020-02-09	09:46:40+0100	2	4
880e152c93b1412eb549c3d64420e971	2020-02-09	09:46:43+0100	2	4
b634c93aecec4427a1eeaad25c640be1	2020-02-09	09:46:45+0100	2	4
78800cc773684261b84d4c6e507cd571	2020-02-09	09:46:51+0100	2	3
a3e89d5fe1dd422aac35e87fafd83911	2020-02-09	09:46:54+0100	2	2
6d470317e66f4658a65f968acfe375f1	2020-02-09	09:46:58+0100	2	2
f6095ed74cba4b60b3924cce0d836611	2020-02-09	09:47:00+0100	2	2
76129727065b498db4296bed909600b1	2020-02-09	09:47:03+0100	2	2
97777462926249a2891ccb840d9b6911	2020-02-09	09:47:05+0100	2	2
4157813edfb24ffc952f1bd9ccf1d9b1	2020-02-09	09:47:10+0100	2	4
d5a0b281ce924d9290128ac0618fe2b1	2020-02-09	09:47:12+0100	2	2
dbdd587dc8b44137a35899f6ccfa65c2	2020-02-09	09:47:16+0100	2	3
c102919b1f7f43bd975c3e5c4d16d662	2020-02-09	09:47:19+0100	0	0
a3e89d5fe1dd422aac35e87fafd83912	2020-02-09	09:47:32+0100	1	1
842afa4193eb48e787d7243425731e32	2020-02-09	09:47:35+0100	2	2
837d6ec7c0cc43b6aceaac6f33fa8e12	2020-02-09	09:47:40+0100	1	1
203c69829ec449f59595bbdf231f4bb2	2020-02-09	09:47:47+0100	0	0
9e12923fd83e48d5ac08ab01dea6ca22	2020-02-09	09:47:49+0100	0	2
94c6eafd33f846e78df61ec02a834632	2020-02-09	09:47:55+0100	2	2
f88c27035229457d855fa3a42fa14e92	2020-02-09	09:47:58+0100	2	2
3f6e2534046d42a4897dcae5c4612d32	2020-02-09	09:48:01+0100	0	0
0418d372899f4a1fa5b890911289acd2	2020-02-09	09:48:04+0100	0	0
